SNo.,District Name,Janpad / Block Name,Panchayat Name,Work Start Fin Year,Work Status,Work Code,Work Name,Master Work Category Name,Work Category Name,WORK TYPE as per new work creation Module,Work Type,Agency Name,Sanction Wages (Rs),Sanction Material (Rs),Booked Current FY Wages (Rs),Booked Current FY Material (Rs),Paid Current FY Wages (Rs),Paid Current FY Material (Rs),Booked Since Inception Wages (Rs),Booked Since Inception Material (Rs),Paid Since Inception Wages (Rs),Paid Since Inception Material (Rs),Total Mandays,Mandays Generated Current FY,No. Of Units,Is Exempted Ongoing Community Works(20) within GP,Is Secure,Is Convergence,Work Started Date,Work Physically/ Completed Date,Individual Beneficiary JCN
11,SATNA,AMARPATAN,AHIRGAON,2025-2026,Ongoing,1712006039/IF/22012035438470,JGSA 2025 खेत तालाब निर्माण कार्य अशोक सिंह ग्राम पंचायत अहिर्गाव,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of Farm Ponds for Individuals,Construction of Farm Ponds for Individuals,Gram Panchayat,112428.23,35192.93,147621,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,05-05-2025,
12,SATNA,AMARPATAN,AHIRGAON,2025-2026,Approved,1712006039/WC/22012035293843,JGSA डग वेल रिचार्ज पिट ललित कुशवाहा के घर के पास किरहाई,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for openwell recharge for Community,Constr of Sand filter - openwell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,14-04-2025,
13,SATNA,AMARPATAN,AHIRGAON,2026-2027,Approved,1712006039/WC/VB/22012035333341,हैंडपंप रिचार्ज पिट निर्माण देवी जी मंदिर के पास ग्राम अहिरगांव ग्राम पं अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Recharge Pits for Community,Construction of Recharge Pits for Community,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,05-07-2026,
14,SATNA,AMARPATAN,AHIRGAON,2026-2027,Approved,1712006039/WC/VB/22012035333343,बोरबेल रिचार्ज पिट निर्माण शा उचित मूल्य दुकान के समीप पेयजल टंकी के पास ग्राअहिरगांव ग्रा पं अहिरगा,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for borewell recharge for Community,Constr of Sand filter-Borewell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,05-07-2026,
15,SATNA,AMARPATAN,AHIRGAON,2026-2027,Approved,1712006039/WC/VB/22012035333344,रूफटॉप रेन वाटर हार्वेस्टिंग कार्य कौशल उन्नयन केंद्र मैं ग्राअहिरगांव ग्रा पं अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Roof Top Rain Water Harvesting Structure for Community,Roof top rain wat. har. str. in gov/panchayat bldg,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,05-07-2026,
16,SATNA,AMARPATAN,AHIRGAON,2026-2027,Deleted,1712006039/WC/VB/22012035332204,ROOF TOP RAIN WATER HARVASTING GP BHAVAN,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Roof Top Rain Water Harvesting Structure for Community,Roof top rain wat. har. str. in gov/panchayat bldg,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,10-04-2026,
17,SATNA,AMARPATAN,AHIRGAON,2026-2027,Deleted,1712006039/RS/VB/22012035139830,उचित मूल्य की दुकान के पास अहिरगांव,D --RURAL INFRASTUCTURE,Rural Sanitation,Construction of Soak Pit for Community,Construction of Soak Pit for Community,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
18,SATNA,AMARPATAN,AHIRGAON,2026-2027,Deleted,1712006039/RS/VB/22012035139831,कौशल उन्नयन केंद्र के पास अहिरगांव,D --RURAL INFRASTUCTURE,Rural Sanitation,Construction of Soak Pit for Community,Construction of Soak Pit for Community,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
19,SATNA,AMARPATAN,AHIRGAON,2026-2027,Deleted,1712006039/WC/VB/22012035333008,रिचार्ज पिट निर्माण ग्राम पंचायत भवन टंकी के पास अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for borewell recharge for Community,Constr of Sand filter-Borewell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
20,SATNA,AMARPATAN,AHIRGAON,2026-2027,Deleted,1712006039/WC/VB/22012035333052,रिचार्ज पिट निर्माण राम जानकी मंदिर के पास अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for borewell recharge for Community,Constr of Sand filter-Borewell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
21,SATNA,AMARPATAN,AHIRGAON,2026-2027,Deleted,1712006039/WC/VB/22012035333054,देवीजी मंदिर के पास अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Roof Top Rain Water Harvesting Structure for Community,Roof top rain wat. har. str. in gov/panchayat bldg,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
22,SATNA,AMARPATAN,AHIRGAON,2026-2027,Approved,1712006039/WC/VB/22012035333770,बोरबेल रिचार्ज पिट निर्माण ग्राम पंचायत भवन टंकी के पास ग्राम पं अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for borewell recharge for Community,Constr of Sand filter-Borewell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
23,SATNA,AMARPATAN,AHIRGAON,2026-2027,Approved,1712006039/WC/VB/22012035333771,बोरबेल रिचार्ज पिट निर्माण राम जानकी मंदिर के पास अहिरगांव ग्राम पं अहिरगांव,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for borewell recharge for Community,Constr of Sand filter-Borewell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,25-07-2026,
24,SATNA,AMARPATAN,AMIN,2020-2021,Approved,1712006016/IF/IAY/2776843,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4168936,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,28-10-2020,
25,SATNA,AMARPATAN,AMIN,2021-2022,Approved,1712006016/IF/IAY/3536017,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4528807,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,01-01-2022,
26,SATNA,AMARPATAN,AMIN,2021-2022,Approved,1712006016/IF/IAY/3554493,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4887029,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,01-01-2022,
27,SATNA,AMARPATAN,AMIN,2021-2022,Approved,1712006016/IF/IAY/3554949,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4952790,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,01-01-2022,
28,SATNA,AMARPATAN,AMIN,2021-2022,Ongoing,1712006016/IF/IAY/3175888,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4822500,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-09-2021,
29,SATNA,AMARPATAN,AMIN,2021-2022,Ongoing,1712006016/IF/IAY/3525501,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4138614,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,15-02-2022,
30,SATNA,AMARPATAN,AMIN,2021-2022,Approved,1712006016/IF/IAY/3402093,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4352143,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-11-2021,
31,SATNA,AMARPATAN,AMIN,2022-2023,Ongoing,1712006016/RC/22012034620525,पीसीसी रोड सह नाली निर्माण रमेश कुशवाहा के घर से जगदीश कुशवाहा के घर तक(नरेगा+15वां वित्त),D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,79000,0,467000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,18-11-2022,
32,SATNA,AMARPATAN,AMIN,2022-2023,Approved,1712006016/IF/IAY/4153961,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116164476,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,30-05-2022,
33,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/IF/IAY/4604062,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP124053351,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,05-03-2025,
34,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/4864784,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP117958941,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,05-11-2024,
35,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/RC/22012034679050,बंद नाली निर्माण कार्य सतैलाल केवट के घर से सुखेन्द्र सिंह के घर की तरफ ग्राम पंचायत आमिन(नरेगा+15वा,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,170000,0,1497000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,06-03-2025,
36,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/5703571,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116165339,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,11-03-2025,
37,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/5878238,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121522121,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,11-03-2025,
38,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/5878270,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116208340,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,11-03-2025,
39,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/5896749,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116208225,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,11-03-2025,
40,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/IF/IAY/4567504,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116164712,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-01-2025,
41,SATNA,AMARPATAN,AMIN,2024-2025,New,1712006016/RC/22012034675220,पीसीसी रोड निर्माण कार्य,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-04-2024,
42,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/4694375,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116208460,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,15-09-2024,
43,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/AV/22012034660411,shanti dham nirman Devi mandir Talab ke piche AAraji kramank 215 me GP Amin,D --RURAL INFRASTUCTURE,Anganwadi/Other Rural Infrastructure,Construction of Crematorium for Community,Construction of Crematorium for Community,Gram Panchayat,38076.74,296829.35,335219,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,18-08-2024,
44,SATNA,AMARPATAN,AMIN,2024-2025,Approved,1712006016/IF/IAY/5770558,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP115654409,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-03-2025,
45,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/AV/22012034662244,Shanti dham nirman GP Amin,D --RURAL INFRASTUCTURE,Anganwadi/Other Rural Infrastructure,Construction of Crematorium for Community,Construction of Crematorium for Community,Gram Panchayat,38076.74,296829.35,335219,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,29-11-2024,
46,SATNA,AMARPATAN,AMIN,2025-2026,Approved,1712006016/IF/IAY/5884244,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122564916,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,03-02-2026,
47,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035604004,एक बगिया माँ के नाम हितग्राही रानी बाई कुशवाहा /केशव प्रसाद कुशवाहा ग्रा0पंचा0आमिन,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Block Plantation of Horticulture Trees in fields for Individual,Block Plantation-Hort-Trees in fields-Individuals,Gram Panchayat,60597.3,103068.38,163848,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,06-09-2025,
48,SATNA,AMARPATAN,AMIN,2025-2026,Approved,1712006016/RC/22012034850886,पीसीसी रोड निर्माण रामायण धोबी के घर के पास से नन्द किशोर साहू के घर के पास ग्राम पं आमिन,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,69000,0,327000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,10-04-2025,
49,SATNA,AMARPATAN,AMIN,2025-2026,Approved,1712006016/RC/22012034850824,पीसीसी रोड निर्माण अमृतलाल कुशवाहा के घर से रामनिवास कुश० के घर तक ग्राम पं आमिन,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,69000,0,327000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-04-2025,
50,SATNA,AMARPATAN,AMIN,2025-2026,Approved,1712006016/RC/22012034850827,पीसीसी रोड निर्माण कार्य मोहन कोल के घर से लल्लू कोल के घर तक (आदिवासी बस्ती ) ग्राम पं आमिन,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,132000,0,649000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-04-2025,
51,SATNA,AMARPATAN,AMIN,2025-2026,Approved,1712006016/RC/22012034852747,पीसीसी रोड निर्माण आदिवासी बस्ती गाड़ा मेन रोड के पास से बेटई बाबा चबूतरा तक ग्राम पं आमिन,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,82000,0,584000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,15-08-2025,
52,SATNA,AMARPATAN,AMIN,2025-2026,New,1712006016/WC/22012035269067,JGSA 2025 dugwell recharge sarvajanik koop garha nayi basti,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for openwell recharge for Community,Constr of Sand filter - openwell recharge for Comm,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,16-04-2025,
53,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770650,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122676996,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,17-02-2026,
54,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770023,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121522271,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,15000,0,0,0,0,0,0,0,60,60,1,,NO,YES,18-02-2026,
55,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770697,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP119494921,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,18-02-2026,
56,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/IAY/5770283,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122677907,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,7830,0,0,0,0,0,0,0,30,30,1,,NO,YES,19-02-2026,
